iter	Passed	Remaining
0	4	450
1	8	407
2	12	420
3	17	408
4	21	410
5	25	397
6	28	375
7	30	355
8	34	344
9	37	333
10	40	323
11	42	314
12	45	302
13	47	291
14	49	281
15	51	271
16	53	260
17	54	249
18	56	240
19	57	231
20	59	222
21	60	215
22	62	207
23	63	201
24	65	195
25	66	189
26	68	184
27	69	178
28	70	173
29	72	169
30	73	164
31	75	160
32	76	155
33	78	151
34	79	147
35	81	144
36	82	140
37	84	137
38	85	134
39	87	130
40	88	127
41	89	123
42	90	120
43	92	117
44	94	114
45	95	112
46	97	109
47	98	106
48	100	104
49	101	101
50	103	99
51	105	97
52	106	94
53	108	92
54	109	89
55	110	86
56	112	84
57	113	82
58	115	79
59	116	77
60	118	75
61	119	73
62	121	71
63	122	68
64	123	66
65	125	64
66	126	62
67	128	60
68	129	58
69	131	56
70	132	54
71	134	52
72	135	50
73	137	48
74	138	46
75	140	44
76	141	42
77	143	40
78	144	38
79	145	36
80	147	34
81	148	32
82	150	30
83	151	28
84	152	26
85	154	25
86	155	23
87	157	21
88	158	19
89	160	17
90	161	15
91	162	14
92	164	12
93	165	10
94	167	8
95	168	7
96	169	5
97	171	3
98	172	1
99	174	0
