iter	Passed	Remaining
0	517	517240
1	520	259559
2	522	173650
3	524	130667
4	527	104910
5	530	87825
6	532	75524
7	534	66267
8	536	59068
9	538	53304
10	540	48591
11	542	44660
12	544	41336
13	546	38492
14	548	36030
15	550	33878
16	553	31987
17	555	30304
18	557	28807
19	560	27455
20	562	26237
21	565	25120
22	567	24103
23	569	23173
24	572	22317
25	574	21518
26	576	20782
27	578	20096
28	581	19466
29	583	18871
30	585	18315
31	588	17794
32	590	17305
33	592	16845
34	595	16407
35	597	15997
36	599	15605
37	602	15240
38	604	14895
39	606	14562
40	608	14244
41	611	13941
42	613	13654
43	615	13379
44	618	13126
45	620	12875
46	623	12636
47	625	12408
48	627	12187
49	630	11977
50	632	11773
51	634	11575
52	637	11384
53	639	11203
54	641	11028
55	644	10861
56	646	10696
57	648	10538
58	651	10385
59	653	10237
60	655	10094
61	658	9956
62	660	9821
63	662	9689
64	664	9562
65	667	9439
66	669	9319
67	671	9203
68	673	9091
69	675	8980
70	678	8873
71	680	8769
72	682	8669
73	684	8570
74	687	8474
75	689	8380
76	691	8290
77	693	8200
78	696	8115
79	698	8032
80	700	7950
81	702	7869
82	704	7780
83	706	7703
84	708	7629
85	711	7557
86	713	7486
87	715	7416
88	718	7349
89	720	7281
90	722	7217
91	724	7153
92	727	7090
93	729	7029
94	731	6971
95	733	6911
96	736	6853
97	738	6796
98	740	6740
99	742	6685
100	745	6632
101	747	6579
102	749	6528
103	751	6476
104	753	6426
105	756	6376
106	758	6329
107	760	6282
108	763	6237
109	765	6192
110	767	6147
111	769	6102
112	771	6059
113	774	6017
114	776	5975
115	778	5934
116	780	5890
117	782	5851
118	785	5812
119	787	5774
120	789	5736
121	791	5696
122	793	5660
123	796	5625
124	798	5589
125	800	5555
126	802	5517
127	804	5483
128	807	5450
129	809	5416
130	811	5383
131	813	5350
132	815	5318
133	818	5287
134	820	5256
135	822	5227
136	824	5196
137	827	5167
138	829	5139
139	831	5110
140	834	5082
141	835	5049
142	838	5022
143	840	4995
144	842	4968
145	844	4941
146	846	4914
147	849	4889
148	851	4863
149	853	4838
150	856	4813
151	858	4788
152	860	4764
153	862	4740
154	865	4716
155	867	4693
156	869	4669
157	872	4647
158	874	4625
159	876	4602
160	878	4576
161	880	4554
162	882	4532
163	885	4511
164	887	4490
165	889	4469
166	891	4448
167	894	4428
168	896	4407
169	898	4388
170	901	4368
171	903	4348
172	905	4329
173	907	4309
174	910	4290
175	912	4271
176	914	4252
177	916	4233
178	919	4215
179	921	4197
180	923	4179
181	926	4161
182	928	4144
183	930	4126
184	932	4108
185	934	4091
186	937	4074
187	939	4057
188	941	4041
189	944	4024
190	946	4008
191	948	3992
192	950	3976
193	953	3959
194	955	3944
195	957	3928
196	959	3912
197	962	3896
198	964	3881
199	966	3865
200	968	3851
201	971	3836
202	973	3821
203	975	3806
204	977	3792
205	980	3778
206	982	3764
207	984	3749
208	986	3735
209	989	3720
210	991	3706
211	993	3692
212	996	3680
213	998	3666
214	1000	3652
215	1002	3639
216	1004	3625
217	1006	3612
218	1009	3598
219	1011	3585
220	1013	3572
221	1015	3560
222	1018	3547
223	1020	3534
224	1022	3522
225	1024	3509
226	1027	3497
227	1029	3485
228	1031	3472
229	1033	3461
230	1037	3452
231	1039	3441
232	1041	3429
233	1044	3417
234	1046	3406
235	1048	3394
236	1050	3383
237	1053	3371
238	1055	3359
239	1057	3348
240	1059	3337
241	1061	3325
242	1064	3314
243	1066	3303
244	1068	3292
245	1070	3281
246	1072	3270
247	1075	3259
248	1077	3249
249	1079	3239
250	1081	3228
251	1084	3217
252	1086	3207
253	1088	3197
254	1090	3186
255	1092	3176
256	1095	3166
257	1097	3155
258	1099	3145
259	1101	3135
260	1103	3125
261	1106	3115
262	1108	3105
263	1110	3096
264	1112	3086
265	1115	3077
266	1117	3068
267	1119	3058
268	1122	3049
269	1124	3040
270	1126	3030
271	1128	3021
272	1131	3012
273	1133	3003
274	1135	2993
275	1137	2984
276	1140	2975
277	1142	2966
278	1144	2957
279	1146	2948
280	1149	2940
281	1151	2931
282	1153	2922
283	1155	2913
284	1157	2905
285	1160	2896
286	1162	2888
287	1164	2879
288	1167	2871
289	1169	2863
290	1171	2855
291	1174	2846
292	1176	2838
293	1178	2830
294	1180	2821
295	1183	2813
296	1185	2805
297	1187	2797
298	1189	2789
299	1191	2781
300	1194	2773
301	1196	2765
302	1198	2757
303	1200	2749
304	1203	2741
305	1205	2734
306	1207	2726
307	1210	2718
308	1212	2711
309	1214	2703
310	1217	2696
311	1219	2688
312	1221	2680
313	1223	2673
314	1225	2665
315	1227	2657
316	1229	2649
317	1231	2640
318	1233	2632
319	1234	2624
320	1237	2616
321	1239	2609
322	1241	2601
323	1243	2595
324	1246	2588
325	1248	2581
326	1250	2574
327	1253	2567
328	1255	2560
329	1257	2553
330	1260	2546
331	1262	2540
332	1264	2533
333	1267	2526
334	1269	2519
335	1271	2512
336	1273	2506
337	1275	2498
338	1278	2492
339	1280	2485
